,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
36,36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62375000000003,-79.36919999999998,1.0,Harbor / Marina,Park,Theme Park,Farm,Women's Store,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
37,37,M6J,West Toronto,"Little Portugal, Trinity",43.64863621500007,-79.41775187699994,1.0,Asian Restaurant,Restaurant,Coffee Shop,Cocktail Bar,Bar,Wine Bar,French Restaurant,Italian Restaurant,Japanese Restaurant,Juice Bar
38,38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.72688089800005,-79.26569363099999,1.0,Discount Store,Convenience Store,Department Store,Coffee Shop,Hobby Shop,Cosmetics Shop,Costume Shop,Fish Market,Fish & Chips Shop,Financial or Legal Service
39,39,M2K,North York,Bayview Village,43.78060688500005,-79.37692081799997,6.0,Trail,Construction & Landscaping,Women's Store,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm,Farmers Market
40,40,M3K,North York,Downsview,43.739100915000044,-79.46763070999998,0.0,Caribbean Restaurant,Vietnamese Restaurant,Discount Store,Shopping Mall,Grocery Store,Pizza Place,Coffee Shop,Pool,Beer Store,Fried Chicken Joint
41,41,M4K,East Toronto,"The Danforth West, Riverdale",43.683423910000045,-79.35456407799995,1.0,Bus Line,Grocery Store,Discount Store,Business Service,Park,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Women's Store
42,42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.64692288500004,-79.38162557699997,1.0,Coffee Shop,Hotel,Café,Restaurant,Seafood Restaurant,American Restaurant,Salad Place,Italian Restaurant,Japanese Restaurant,Tea Room
43,43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.63992163400008,-79.43123988199994,1.0,Café,Coffee Shop,Thrift / Vintage Store,Restaurant,Diner,Gift Shop,North Indian Restaurant,Supermarket,Indian Restaurant,Italian Restaurant
44,44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.71334044300005,-79.28494163099998,1.0,Bus Line,Intersection,Coffee Shop,Bus Station,Bakery,Soccer Field,Metro Station,Financial or Legal Service,Field,Fast Food Restaurant
45,45,M2L,North York,"York Mills, Silver Hills",43.749360000000074,-79.38068999999996,1.0,Coffee Shop,Bank,Pharmacy,Baseball Field,Burger Joint,Sandwich Place,Ice Cream Shop,Butcher,Cosmetics Shop,Supermarket
46,46,M3L,North York,Downsview,43.729991602000034,-79.512026802,0.0,Caribbean Restaurant,Vietnamese Restaurant,Discount Store,Shopping Mall,Grocery Store,Pizza Place,Coffee Shop,Pool,Beer Store,Fried Chicken Joint
47,47,M4L,East Toronto,"India Bazaar, The Beaches West",43.668290659000036,-79.31557771299998,0.0,Pizza Place,Fast Food Restaurant,Sandwich Place,Restaurant,Burrito Place,Fish & Chips Shop,Pet Store,Liquor Store,Board Shop,Steakhouse
48,48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64828329400007,-79.37875017599998,1.0,Coffee Shop,Restaurant,Café,Italian Restaurant,Hotel,Gym,American Restaurant,Japanese Restaurant,Deli / Bodega,Seafood Restaurant
49,49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.71352959500007,-79.488724372,2.0,Bakery,Park,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Women's Store,Dog Run
50,50,M9L,North York,Humber Summit,43.75938139500005,-79.55717381699999,4.0,Sporting Goods Shop,Dog Run,Flower Shop,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm
51,51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.72353760300007,-79.22835287899994,0.0,Liquor Store,Pharmacy,Bistro,Coffee Shop,Sandwich Place,Farm,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
52,52,M2M,North York,"Willowdale, Newtonbrook",43.79180026600005,-79.40642782199996,1.0,Café,Piano Bar,Bridal Shop,Women's Store,Farm,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant
